[0924/185224.852:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0924/220849.449:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0924/225515.322:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0924/225520.341:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0924/225525.368:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0924/225530.375:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0924/225535.391:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0924/225540.403:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0924/225545.419:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0924/225550.425:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0924/225555.430:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0924/225600.446:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0924/225605.457:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0924/225610.466:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0924/225615.474:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0924/225620.481:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0924/225625.485:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
